Datetime : 2021-02-05 18:03:55.463307
Iter: [5000][84/586]	TEST PSNR: ( 32.5099,  34.2681)	val_loss: ( 0.0141,  0.0138)	
Iter: [5000][85/586]	TEST PSNR: ( 33.4199,  34.2582)	val_loss: ( 0.0140,  0.0138)	
Iter: [5000][86/586]	TEST PSNR: ( 36.2244,  34.2808)	val_loss: ( 0.0118,  0.0138)	
Iter: [5000][87/586]	TEST PSNR: ( 36.4803,  34.3058)	val_loss: ( 0.0137,  0.0138)	
Iter: [5000][88/586]	TEST PSNR: ( 35.0239,  34.3139)	val_loss: ( 0.0119,  0.0138)	
Iter: [5000][89/586]	TEST PSNR: ( 34.1166,  34.3117)	val_loss: ( 0.0123,  0.0138)	
Iter: [5000][90/586]	TEST PSNR: ( 36.9353,  34.3405)	val_loss: ( 0.0101,  0.0137)	
Iter: [5000][91/586]	TEST PSNR: ( 33.8694,  34.3354)	val_loss: ( 0.0132,  0.0137)	
Iter: [5000][92/586]	TEST PSNR: ( 34.4259,  34.3364)	val_loss: ( 0.0129,  0.0137)	
Iter: [5000][93/586]	TEST PSNR: ( 33.0401,  34.3226)	val_loss: ( 0.0174,  0.0138)	
Iter: [5000][94/586]	TEST PSNR: ( 33.2874,  34.3117)	val_loss: ( 0.0131,  0.0138)	
Iter: [5000][95/586]	TEST PSNR: ( 30.6425,  34.2735)	val_loss: ( 0.0201,  0.0138)	
Iter: [5000][96/586]	TEST PSNR: ( 33.3123,  34.2636)	val_loss: ( 0.0178,  0.0139)	
Iter: [5000][97/586]	TEST PSNR: ( 35.0735,  34.2718)	val_loss: ( 0.0146,  0.0139)	
Iter: [5000][98/586]	TEST PSNR: ( 34.4119,  34.2732)	val_loss: ( 0.0113,  0.0138)	
Iter: [5000][99/586]	TEST PSNR: ( 34.8675,  34.2792)	val_loss: ( 0.0113,  0.0138)	
Iter: [5000][100/586]	TEST PSNR: ( 32.3162,  34.2598)	val_loss: ( 0.0159,  0.0138)	
Iter: [5000][101/586]	TEST PSNR: ( 35.0773,  34.2678)	val_loss: ( 0.0119,  0.0138)	
Iter: [5000][102/586]	TEST PSNR: ( 36.5502,  34.2899)	val_loss: ( 0.0116,  0.0138)	
Iter: [5000][103/586]	TEST PSNR: ( 33.3921,  34.2813)	val_loss: ( 0.0143,  0.0138)	
Iter: [5000][104/586]	TEST PSNR: ( 32.3171,  34.2626)	val_loss: ( 0.0154,  0.0138)	
Iter: [5000][105/586]	TEST PSNR: ( 36.5257,  34.2839)	val_loss: ( 0.0106,  0.0138)	
Iter: [5000][106/586]	TEST PSNR: ( 36.1992,  34.3018)	val_loss: ( 0.0108,  0.0138)	
Iter: [5000][107/586]	TEST PSNR: ( 33.6842,  34.2961)	val_loss: ( 0.0144,  0.0138)	
Iter: [5000][108/586]	TEST PSNR: ( 36.4387,  34.3158)	val_loss: ( 0.0110,  0.0137)	
Iter: [5000][109/586]	TEST PSNR: ( 31.2107,  34.2875)	val_loss: ( 0.0196,  0.0138)	
Iter: [5000][110/586]	TEST PSNR: ( 34.0009,  34.2850)	val_loss: ( 0.0125,  0.0138)	
Iter: [5000][111/586]	TEST PSNR: ( 34.5868,  34.2877)	val_loss: ( 0.0117,  0.0138)	
Iter: [5000][112/586]	TEST PSNR: ( 37.0639,  34.3122)	val_loss: ( 0.0095,  0.0137)	
Iter: [5000][113/586]	TEST PSNR: ( 35.8956,  34.3261)	val_loss: ( 0.0133,  0.0137)	
Iter: [5000][114/586]	TEST PSNR: ( 34.4752,  34.3274)	val_loss: ( 0.0128,  0.0137)	
Iter: [5000][115/586]	TEST PSNR: ( 34.0367,  34.3249)	val_loss: ( 0.0123,  0.0137)	
Iter: [5000][116/586]	TEST PSNR: ( 31.9229,  34.3044)	val_loss: ( 0.0164,  0.0137)	
Iter: [5000][117/586]	TEST PSNR: ( 34.2236,  34.3037)	val_loss: ( 0.0141,  0.0137)	
Iter: [5000][118/586]	TEST PSNR: ( 33.1428,  34.2939)	val_loss: ( 0.0145,  0.0137)	
Iter: [5000][119/586]	TEST PSNR: ( 36.3167,  34.3108)	val_loss: ( 0.0120,  0.0137)	
Iter: [5000][120/586]	TEST PSNR: ( 33.2446,  34.3020)	val_loss: ( 0.0152,  0.0137)	
Iter: [5000][121/586]	TEST PSNR: ( 33.4566,  34.2951)	val_loss: ( 0.0165,  0.0138)	
Iter: [5000][122/586]	TEST PSNR: ( 33.0861,  34.2852)	val_loss: ( 0.0140,  0.0138)	
Iter: [5000][123/586]	TEST PSNR: ( 32.9651,  34.2746)	val_loss: ( 0.0141,  0.0138)	
Iter: [5000][124/586]	TEST PSNR: ( 33.0433,  34.2647)	val_loss: ( 0.0156,  0.0138)	
Iter: [5000][125/586]	TEST PSNR: ( 32.6591,  34.2520)	val_loss: ( 0.0179,  0.0138)	
Iter: [5000][126/586]	TEST PSNR: ( 34.6464,  34.2551)	val_loss: ( 0.0133,  0.0138)	
Iter: [5000][127/586]	TEST PSNR: ( 34.7245,  34.2588)	val_loss: ( 0.0133,  0.0138)	
Iter: [5000][128/586]	TEST PSNR: ( 32.3162,  34.2437)	val_loss: ( 0.0145,  0.0138)	
Iter: [5000][129/586]	TEST PSNR: ( 29.3959,  34.2064)	val_loss: ( 0.0227,  0.0139)	
Iter: [5000][130/586]	TEST PSNR: ( 32.6612,  34.1946)	val_loss: ( 0.0132,  0.0139)	
Iter: [5000][131/586]	TEST PSNR: ( 33.8722,  34.1922)	val_loss: ( 0.0127,  0.0139)	
Iter: [5000][132/586]	TEST PSNR: ( 35.2970,  34.2005)	val_loss: ( 0.0109,  0.0138)	
Iter: [5000][133/586]	TEST PSNR: ( 31.4314,  34.1798)	val_loss: ( 0.0181,  0.0139)	
Iter: [5000][134/586]	TEST PSNR: ( 33.1534,  34.1722)	val_loss: ( 0.0168,  0.0139)	
Iter: [5000][135/586]	TEST PSNR: ( 34.9205,  34.1777)	val_loss: ( 0.0121,  0.0139)	
Iter: [5000][136/586]	TEST PSNR: ( 32.2955,  34.1640)	val_loss: ( 0.0156,  0.0139)	
Iter: [5000][137/586]	TEST PSNR: ( 36.8778,  34.1836)	val_loss: ( 0.0107,  0.0139)	
Iter: [5000][138/586]	TEST PSNR: ( 34.6715,  34.1871)	val_loss: ( 0.0131,  0.0139)	
Iter: [5000][139/586]	TEST PSNR: ( 32.6788,  34.1764)	val_loss: ( 0.0179,  0.0139)	
Iter: [5000][140/586]	TEST PSNR: ( 36.9820,  34.1963)	val_loss: ( 0.0112,  0.0139)	
Iter: [5000][141/586]	TEST PSNR: ( 35.8782,  34.2081)	val_loss: ( 0.0114,  0.0139)	
Iter: [5000][142/586]	TEST PSNR: ( 33.0348,  34.1999)	val_loss: ( 0.0167,  0.0139)	
Iter: [5000][143/586]	TEST PSNR: ( 36.1745,  34.2136)	val_loss: ( 0.0118,  0.0139)	
